pc,code,ProjectNumber,ProjectLeader,plna1,Division,Participating,ProjectTitle,Sponsor,StartingDate,FinishDate,Extension,Cost,Status,Expertise_1,Expertise_2,Expertise_3,Expertise_4,Expertise_5,Expertise_6,Expertise_7,Expertise_8,Expertise_9,Expertise_10,,,,,,,,
GAP,1,2342,AK,A. Kapley,DRC,Nil,Predicting Funtionality Of Domestic Wastewater Treatment Plants When Challanged By Xenobiotics Anti-bacterials And Surfactants (xas),"Department Of Biotechnology (dbt), New Delhi",43095,44190,,51.15,ONG,Wastewater Treatment Processes,Microbiology,Toxicology,Data Science And Machine Learning,Analytical Chemistry,Nil,Nil,Nil,Nil,Nil,,,,,,,,
CNP,7,2343,"AM, LD","A. Maldhure, L. Deshpande",WT & MD,EM,Household Water Treatment And Storage Technology For Safe Water,"Save The Children, Bal Raksha Bharat, Gurgaon",43205,43813,44196,21.51,ONG,Water Treatment Technologies,Water Quality Analysis,Household Water Storage Systems,Public Health And Safety,Water Treatment Systems,Nil,Nil,Nil,Nil,Nil,,,,,,,,
TSP,7,2344,SS,S. Salana,MZC,EM,Investigation Study On The Cause Of Alleged Black Rain Incident Near Nagothane,"Reliance Industries Ltd., Raigad (maharashtra)",43221,43738,,14,ONG,Environmental Science,Chemistry,Forensic Science,Environmental Monitoring,Risk Assessment,Geographic Information Systems,Monitoring And Evaluation,Sustainability And Social Aspects,Project Management And Implementation,Nil,,,,,,,,
CNP,1,2345,KK,K. Kumari,EISD,EISD,Study On Soil Quality At 10 Sites For 35 Parameters As Well As For Chemicals Of Concern W.r.t. Individual Sites,"Ministry Of Environment Forest & Climate Change, New Delhi",43191,43921,44742,5 7312,ONG,Soil Science,Environmental Chemistry,Sampling And Laboratory Techniques,Toxicology,Statistical Analysis,Geographic Information Systems,Local Regulations And Industrial Processes,Interviewing And Investigation Techniques,Nil,Nil,,,,,,,,
TSP,7,2346,"RR, MPR","R. Ram, Meganathan P. R.",HZC,EM,"Feasibility Study For Installed Piezometric Wells In And Around Divi's Laborattories Ltd., Lingojigudem Village, Choutuppal Mandal, Telangana","Divi's Laboratories Ltd., Chotuppal, Telangana",43132,43861,,5,ONG,Hydrogeology,Groundwater Monitoring,Geotechnical Engineering,Data Analysis And Interpretation,Geographic Information Systems,Statistical Analysis,Chemicals And Contaminants,Research Design And Project Management,Nil,Nil,,,,,,,,
CNP,2,2347,SK,S. Kumar,SHWM,Nil,Management Of Drain Siltin Delhi State By Way Of Recycling/processing By Utilizing Appropriate Methodologies/technologies,"South Delhi Municipal Corporation (sdmc), Delhi",43191,43921,44926,48,ONG,Environmental Engineering,Waste Management,Soil Science,Civil Engineering,Waste-to-energy Technologies,Environmental Regulations And Policies,Environmental Regulations And Standards,Report Writing And Communication,Nil,Nil,,,,,,,,
CNP,2,2348,YP,Y. Pakade,CTMD,Nil,Pmc Service For Implementation Of Phytorid Based Sewage Treatment Plant At Manikhamba-balasore Using Phytorid Technology,"Orissa Water Supply & Sewerage Board (owssb), Bhubneshwar",43182,43913,,1 18504,ONG,Environmental Engineering,Phytorid Technology,Project Management,Civil Engineering,Permitting And Regulatory Compliance,Water And Wastewater Quality Analysis,Research And Innovation,Project Management,Collaboration And Stakeholder Engagement,Nil,,,,,,,,
GAP,2,2349,RS,R. Sharma,DZC,EM,Study The Possibilities Of Remediation And Restoration Via Natural And Sustainable System Of The Identified Water Bodies,"Delhi Jal Board (djb), Delhi",43221,43951,44561,8 8,ONG,Environmental Science,Water Quality Analysis,Hydrology And Hydrogeology,Ecological Restoration,Sustainable Water Management,Phytoremediation,Environmental Impact Assessment,Stakeholder Engagement,Health And Safety Management,Bioremediation,,,,,,,,
CNP,7,2350,MSK,M.S.Kumar,EISD,EISD,"Impact Assessment Study On Aquatic Ecology Due To Floating Solar Pv At Ambazari Lake, Nagpur","Avaada Power Pvt. Ltd., Mumbai",43191,43738,44286,1 25,ONG,Aquatic Ecology,Environmental Impact Assessment,Water Quality Analysis,Ecological Monitoring,Solar Pv Technology,Hydrology,Natural Resource Management,Environmental Policy And Regulations,Stakeholder Engagement And Communication,Nil,,,,,,,,
CNP,2,2351,RS,R. Sharma,DZC,EM,Treatment Of Wastewater Through Phytorid Technology And Its Reuse For Revival Of Shahdara Lake With Lake Bed Surface Rejuvenation And Comprehensive Landscape Planning And Integration For Sustainable Management Of Land Lake And Adjoining Areas-phaseii,"East Delhi Municipal Corporation (edmc), Delhi",43221,43951,44561,52,ONG,Environmental Engineering,Phytorid Technology,Wastewater Treatment,Water Resource Management,Landscape Planning And Design,Sustainable Land Management,Data Analysis And Interpretation,Stakeholder Engagement,Report Writing And Communication,Nil,,,,,,,,
